Date,Low,Open,Volume,High,Close,Adjusted Close
12-12-80,0.128347993,0.128347993,469033600,0.128905997,0.128347993,0.100325644
12-15-80,0.121652,0.122210003,175884800,0.122210003,0.121652,0.095091619
12-16-80,0.112723,0.113280997,105728000,0.113280997,0.112723,0.088112094
12-17-80,0.115512997,0.115512997,86441600,0.116071001,0.115512997,0.090292901
12-18-80,0.118862003,0.118862003,73449600,0.119419999,0.118862003,0.092910714
12-19-80,0.126115993,0.126115993,48630400,0.126673996,0.126115993,0.098580979
12-22-80,0.132254004,0.132254004,37363200,0.132813007,0.132254004,0.10337881
12-23-80,0.137834996,0.137834996,46950400,0.138393,0.137834996,0.107741363
12-24-80,0.145089,0.145089,48003200,0.145647004,0.145089,0.113411531
12-26-80,0.158482,0.158482,55574400,0.159040004,0.158482,0.123880416
12-29-80,0.160714,0.160714,93161600,0.161272004,0.160714,0.125625104
12-30-80,0.156808004,0.157365993,68880000,0.157365993,0.156808004,0.122571968
12-31-80,0.152344003,0.152902007,35750400,0.152902007,0.152344003,0.1190826
1-2-81,0.154018,0.154018,21660800,0.155134007,0.154018,0.120391078
1-5-81,0.150670007,0.151227996,35728000,0.151227996,0.150670007,0.117774069
1-6-81,0.143972993,0.144530997,45158400,0.144530997,0.143972993,0.112539232
1-7-81,0.137834996,0.138393,55686400,0.138393,0.137834996,0.107741363
1-8-81,0.135045007,0.135602996,39827200,0.135602996,0.135045007,0.105560474
1-9-81,0.142298996,0.142298996,21504000,0.142857,0.142298996,0.111230694
1-12-81,0.141183004,0.142298996,23699200,0.142298996,0.141183004,0.110358387
1-13-81,0.136161,0.136719003,23049600,0.136719003,0.136161,0.10643281
1-14-81,0.136719003,0.136719003,14291200,0.137277007,0.136719003,0.106868997
1-15-81,0.139509007,0.139509007,14067200,0.140625,0.139509007,0.109049857
1-16-81,0.138393,0.138951004,13395200,0.138951004,0.138393,0.10817752
1-19-81,0.146762997,0.146762997,41574400,0.147321001,0.146762997,0.114720009
1-20-81,0.142298996,0.142857,30083200,0.142857,0.142298996,0.111230694
1-21-81,0.145089,0.145089,15904000,0.146204993,0.145089,0.113411531
1-22-81,0.146762997,0.146762997,35548800,0.147879004,0.146762997,0.114720009
1-23-81,0.146204993,0.146762997,11222400,0.147321001,0.146204993,0.114283949
1-26-81,0.143972993,0.144530997,24640000,0.144530997,0.143972993,0.112539232
1-27-81,0.142857,0.143972993,23699200,0.143972993,0.142857,0.111666851
1-28-81,0.138393,0.138951004,28156800,0.138951004,0.138393,0.10817752
1-29-81,0.133370996,0.133928999,43904000,0.133928999,0.133370996,0.104251958
1-30-81,0.126115993,0.127232,46188800,0.127232,0.126115993,0.098580979
2-2-81,0.118862003,0.119419999,23766400,0.119419999,0.118862003,0.092910714
2-3-81,0.123326004,0.123326004,19152000,0.123884,0.123326004,0.096400119
2-4-81,0.127790004,0.127790004,27865600,0.128347993,0.127790004,0.099889427
2-5-81,0.127790004,0.127790004,7929600,0.128905997,0.127790004,0.099889427
2-6-81,0.128347993,0.128347993,13865600,0.128905997,0.128347993,0.100325644
2-9-81,0.121652,0.122768,16755200,0.122768,0.121652,0.095091619
2-10-81,0.121652,0.121652,18345600,0.122210003,0.121652,0.095091619
